kind,x,eta,time
dg_trace,0,0.37836263866477948,0.11808815689988486
dg_trace,0.054246874552401028,0.3893024238561768,0.11808815689988486
dg_trace,0.15707963267948963,0.39231329394416425,0.11808815689988486
dg_trace,0.25991239080657835,0.37096353282348149,0.11808815689988486
dg_trace,0.31415926535897931,0.3517604072386083,0.11808815689988486
dg_trace,0.31415926535897931,0.3517604072386083,0.11808815689988486
dg_trace,0.36840613991138038,0.32834136438100026,0.11808815689988486
dg_trace,0.47123889803846886,0.28130382752013061,0.11808815689988486
dg_trace,0.57407165616555778,0.23649731929572007,0.11808815689988486
dg_trace,0.62831853071795862,0.21496411854997804,0.11808815689988486
dg_trace,0.62831853071795862,0.21496411854997804,0.11808815689988486
dg_trace,0.68256540527035969,0.19471254760240114,0.11808815689988486
dg_trace,0.78539816339744806,0.15832277067052064,0.11808815689988486
dg_trace,0.88823092152453686,0.12293264294084116,0.11808815689988486
dg_trace,0.94247779607693793,0.10438455440042403,0.11808815689988486
dg_trace,0.94247779607693793,0.10438455440042403,0.11808815689988486
dg_trace,0.996724670629339,0.0861724328560729,0.11808815689988486
dg_trace,1.0995574287564274,0.053478387483430485,0.11808815689988486
dg_trace,1.2023901868835165,0.024589355736921639,0.11808815689988486
dg_trace,1.2566370614359172,0.011127645230018935,0.11808815689988486
dg_trace,1.2566370614359172,0.011127645230018935,0.11808815689988486
dg_trace,1.3108839359883184,-0.0012230308337440286,0.11808815689988486
dg_trace,1.4137166941154067,-0.022284259271060113,0.11808815689988486
dg_trace,1.5165494522424956,-0.04151939522977393,0.11808815689988486
dg_trace,1.5707963267948966,-0.051269052629410609,0.11808815689988486
dg_trace,1.5707963267948966,-0.051269052629410609,0.11808815689988486
dg_trace,1.6250432013472975,-0.060768904526638801,0.11808815689988486
dg_trace,1.7278759594743855,-0.077815334551329066,0.11808815689988486
dg_trace,1.8307087176014749,-0.092941765345058033,0.11808815689988486
dg_trace,1.8849555921538759,-0.099946696638978483,0.11808815689988486
dg_trace,1.8849555921538759,-0.099946696638978483,0.11808815689988486
dg_trace,1.9392024667062773,-0.10627498879997167,0.11808815689988486
dg_trace,2.0420352248333651,-0.11666374845624823,0.11808815689988486
dg_trace,2.1448679829604544,-0.12559574732790038,0.11808815689988486
dg_trace,2.1991148575128552,-0.12996838479290304,0.11808815689988486
dg_trace,2.1991148575128552,-0.12996838479290304,0.11808815689988486
